?s	?ord	?t	?form	?lemma	?pos	?head	?rel	?ctsurn
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"4"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_4>	","	","	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_2>	"AuxX"	<urn:cts:greekLit:tlg0011.tlg001:303>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"5"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_5>	"μή"	"μή"	"c--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_7>	"AuxZ"	<urn:cts:greekLit:tlg0011.tlg001:303>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"6"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_6>	"ποτ'"	"ποτέ"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_5>	"AuxZ"	<urn:cts:greekLit:tlg0011.tlg001:303>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"7"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_7>	"εἰσίδοιμί"	"εἰσοράω"	"v1saom---"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_17>	"PRED_CO"	<urn:cts:greekLit:tlg0011.tlg001:303>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"8"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_8>	"σε"	"σύ"	"p-s---ma-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_7>	"OBJ"	<urn:cts:greekLit:tlg0011.tlg001:303>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"9"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_9>	"πρὸς"	"πρός"	"r--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_13>	"AuxP"	<urn:cts:greekLit:tlg0011.tlg001:304>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"10"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_10>	"τοὐμὸν"	"ἐμός"	"p-s---na-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_12>	"ATR"	<urn:cts:greekLit:tlg0011.tlg001:304>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"11"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_11>	"οὕτω"	"οὕτως"	"d--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_13>	"ADV"	<urn:cts:greekLit:tlg0011.tlg001:304>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"12"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_12>	"σπέρμα"	"σπέρμα"	"n-s---na-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_9>	"OBJ"	<urn:cts:greekLit:tlg0011.tlg001:304>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"13"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_13>	"χωρήσαντά"	"χωρέω"	"v-sapama-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_7>	"OCOMP"	<urn:cts:greekLit:tlg0011.tlg001:304>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"14"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_14>	"ποι"	"ποι"	"d--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_13>	"ADV"	<urn:cts:greekLit:tlg0011.tlg001:304>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"15"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_15>	","	","	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_17>	"AuxX"	<urn:cts:greekLit:tlg0011.tlg001:304>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"16"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_16>	"μη"	"μηδέ"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_25>	"AuxZ"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"17"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_17>	"δ'"	"δέ"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_0>	"COORD"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"18"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_18>	","	","	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_19>	"AuxX"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"19"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_19>	"εἴ"	"εἰ"	"c--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_28>	"AuxC"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"20"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_20>	"τι"	"τις"	"p-s---na-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_21>	"OBJ"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"21"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_21>	"δράσεις"	"δράω"	"v2sfia---"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_19>	"ADV"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"22"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_22>	","	","	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_19>	"AuxX"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"23"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_23>	"τῆσδέ"	"ὅδε"	"p-s---fg-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_25>	"SBJ"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"24"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_24>	"γε"	"γε"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_23>	"AuxZ"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"25"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_25>	"ζώσης"	"ζάω"	"v-sppafg-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_28>	"ADV"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"26"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_26>	"ἔτι"	"ἔτι"	"d--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_25>	"ADV"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"27"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_27>	"."	"."	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_0>	"AuxK"	<urn:cts:greekLit:tlg0011.tlg001:305>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s134_0>	"28"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_28>	"[0]"			<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s134_17>	"PRED_CO"	
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s135_0>	"1"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_1>	"οὕτως"	"οὕτως"	"d--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_3>	"ADV"	<urn:cts:greekLit:tlg0011.tlg001:306>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s135_0>	"2"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_2>	"ἐγὼ"	"ἐγώ"	"p-s---fn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_3>	"SBJ"	<urn:cts:greekLit:tlg0011.tlg001:306>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s135_0>	"3"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_3>	"δέδοικα"	"δείδω"	"v1sria---"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_0>	"PRED"	<urn:cts:greekLit:tlg0011.tlg001:306>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s135_0>	"4"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_4>	"τάσδ'"	"ὅδε"	"p-p---fa-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_5>	"OBJ"	<urn:cts:greekLit:tlg0011.tlg001:306>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s135_0>	"5"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_5>	"ὁρωμένη"	"ὁράω"	"v-sppefn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_3>	"ADV"	<urn:cts:greekLit:tlg0011.tlg001:306>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s135_0>	"6"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_6>	"."	"."	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s135_0>	"AuxK"	<urn:cts:greekLit:tlg0011.tlg001:306>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s136_0>	"1"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_1>	"ὦ"	"ὦ"	"i--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_2>	"AuxZ"	<urn:cts:greekLit:tlg0011.tlg001:307>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s136_0>	"2"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_2>	"δυστάλαινα"	"δυστάλας"	"a-s---fv-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_6>	"ExD"	<urn:cts:greekLit:tlg0011.tlg001:307>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s136_0>	"3"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_3>	","	","	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_2>	"AuxX"	<urn:cts:greekLit:tlg0011.tlg001:307>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s136_0>	"4"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_4>	"τίς"	"τίς"	"p-s---fn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_6>	"PNOM"	<urn:cts:greekLit:tlg0011.tlg001:307>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s136_0>	"5"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_5>	"ποτ'"	"ποτέ"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_4>	"AuxZ"	<urn:cts:greekLit:tlg0011.tlg001:307>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s136_0>	"6"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_6>	"εἶ"	"εἰμί"	"v2spia---"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_0>	"PRED"	<urn:cts:greekLit:tlg0011.tlg001:307>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s136_0>	"7"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_7>	"νεανίδων"	"νεᾶνις"	"n-p---fg-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_4>	"ATR"	<urn:cts:greekLit:tlg0011.tlg001:307>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s136_0>	"8"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_8>	";"	";"	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s136_0>	"AuxK"	<urn:cts:greekLit:tlg0011.tlg001:307>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s137_0>	"1"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_1>	"ἄνανδρος"	"ἄνανδρος"	"a-s---fn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_2>	"PNOM_CO"	<urn:cts:greekLit:tlg0011.tlg001:308>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s137_0>	"2"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_2>	"ἢ"	"ἤ"	"c--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_5>	"COORD"	<urn:cts:greekLit:tlg0011.tlg001:308>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s137_0>	"3"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_3>	"τεκνοῦσσα"	"τεκνοῦς"	"a-s---fn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_2>	"PNOM_CO"	<urn:cts:greekLit:tlg0011.tlg001:308>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s137_0>	"4"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_4>	";"	";"	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_0>	"AuxK"	<urn:cts:greekLit:tlg0011.tlg001:308>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s137_0>	"5"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_5>	"[0]"			<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s137_0>	"PRED"	
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"1"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_1>	"πρὸς"	"πρός"	"r--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_13>	"AuxP"	<urn:cts:greekLit:tlg0011.tlg001:308>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"2"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_2>	"μὲν"	"μέν"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_13>	"AuxY"	<urn:cts:greekLit:tlg0011.tlg001:308>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"3"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_3>	"γὰρ"	"γάρ"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_13>	"AuxY"	<urn:cts:greekLit:tlg0011.tlg001:308>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"4"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_4>	"φύσιν"	"φύσις"	"n-s---fa-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_1>	"ADV"	<urn:cts:greekLit:tlg0011.tlg001:308>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"5"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_5>	"πάντων"	"πᾶς"	"a-p---ng-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_7>	"ATR"	<urn:cts:greekLit:tlg0011.tlg001:309>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"6"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_6>	"ἄπειρος"	"ἄπειρος"	"a-s---fn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_10>	"PNOM"	<urn:cts:greekLit:tlg0011.tlg001:309>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"7"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_7>	"τῶνδε"	"ὅδε"	"p-p---ng-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_6>	"ATR"	<urn:cts:greekLit:tlg0011.tlg001:309>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"8"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_8>	","	","	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_10>	"AuxX"	<urn:cts:greekLit:tlg0011.tlg001:309>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"9"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_9>	"γενναία"	"γενναῖος"	"a-s---fn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_11>	"ATR"	<urn:cts:greekLit:tlg0011.tlg001:309>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"10"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_10>	"δέ"	"δέ"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_13>	"COORD"	<urn:cts:greekLit:tlg0011.tlg001:309>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"11"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_11>	"τις"	"τις"	"p-s---fn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_10>	"PNOM"	<urn:cts:greekLit:tlg0011.tlg001:309>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"12"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_12>	"."	"."	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_0>	"AuxK"	<urn:cts:greekLit:tlg0011.tlg001:309>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s138_0>	"13"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_13>	"[0]"			<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s138_0>	"PRED"	
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s139_0>	"1"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s139_1>	"Λίχα"	"Λίχας"	"n-s---mn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s139_5>	"ExD"	<urn:cts:greekLit:tlg0011.tlg001:310>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s139_0>	"2"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s139_2>	","	","	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s139_1>	"AuxX"	<urn:cts:greekLit:tlg0011.tlg001:310>
